CHR	START	STOP	REFSEQID	GENESYMBOL	STRAND
chr1	12776117	12788726	NM_001103169	AADACL3	+
chr1	12776117	12788726	NM_001103170	AADACL3	+
chr1	12806162	12821102	NM_152290	C1orf158	+
chr1	12834983	12838048	NM_001080830	PRAMEF12	+
chr1	12851545	12856777	NM_023013	PRAMEF1	+
chr1	12916940	12921764	NM_023014	PRAMEF2	+
chr1	12976449	12980568	NM_001012276	PRAMEF8	+
chr1	12977512	12980233	NM_001012277	PRAMEF7	+
chr1	13035542	13038381	NM_001100631	PRAMEF22	+
chr1	13359818	13369057	NM_001013407	PRAMEF5	+
chr1	13359832	13368936	NM_001010889	PRAMEF6	+
chr1	13421175	13428190	NM_001098376	PRAMEF15	+
chr1	13421175	13428191	NM_001010890	PRAMEF9	+
chr1	13495253	13498259	NM_001045480	PRAMEF16	+
chr1	13516065	13526943	NM_001099852	PRAMEF20	+
chr1	13521962	13526943	NM_001100114	PRAMEF21	+
chr1	13641972	13648987	NM_001098376	PRAMEF15	+
chr1	13641972	13648988	NM_001010890	PRAMEF9	+
chr1	13716087	13719064	NM_001099851	PRAMEF17	+
chr1	13736906	13747803	NM_001099852	PRAMEF20	+
chr1	13742801	13747803	NM_001100114	PRAMEF21	+
chr1	13910251	13944452	NM_006474	PDPN	+
chr1	13910251	13944452	NM_198389	PDPN	+
chr1	13911966	13944452	NM_001006624	PDPN	+
chr1	13911966	13944452	NM_001006625	PDPN	+
chr1	14026734	14151574	NM_001135610	PRDM2	+
chr1	14031349	14114574	NM_015866	PRDM2	+
chr1	14031349	14151574	NM_012231	PRDM2	+
chr1	14075875	14114574	NM_001007257	PRDM2	+
chr1	14925212	15394651	NM_015209	KAZN	+
chr1	14925212	15444544	NM_201628	KAZN	+
chr1	15250624	15394651	NM_001018000	KAZN	+
chr1	15256295	15394651	NM_001018001	KAZN	+
chr1	15272414	15394651	NM_001017999	KAZN	+
chr1	15479027	15546974	NM_001136216	TMEM51	+
chr1	15479027	15546974	NM_001136217	TMEM51	+
chr1	15480228	15546974	NM_001136218	TMEM51	+
chr1	15480228	15546974	NM_018022	TMEM51	+
chr1	15573767	15724622	NM_052929	FHAD1	+
chr1	15736390	15756839	NM_024329	EFHD2	+
chr1	15764937	15773153	NM_007272	CTRC	+
chr1	15783222	15798586	NM_033440	CELA2A	+
chr1	15802595	15817895	NM_015849	CELA2B	+
chr1	15853351	15898228	NM_015291	DNAJC16	+
chr1	15943952	15987552	NM_032341	DDI2	+
chr1	15986363	15988217	NM_006511	RSC1A1	+
chr1	16010826	16061264	NM_015164	PLEKHM2	+
chr1	16062808	16067884	NM_207348	SLC25A34	+
chr1	16068916	16074477	NM_001013641	TMEM82	+
chr1	16085254	16113084	NM_017556	FBLIM1	+
chr1	16090993	16101715	NM_001024215	FBLIM1	+
chr1	16091458	16113084	NM_001024216	FBLIM1	+
chr1	16174358	16266950	NM_015001	SPEN	+
chr1	16330730	16333184	NM_178840	C1orf64	+
chr1	16348485	16360545	NM_001042704	CLCNKA	+
chr1	16348485	16360545	NM_004070	CLCNKA	+
chr1	16370230	16383821	NM_000085	CLCNKB	+
chr1	16375256	16383821	NM_001165945	CLCNKB	+
chr1	16693582	16724640	NM_001114600	SZRD1	+
chr1	16767166	16786584	NM_001145277	NECAP2	+
chr1	16767166	16786584	NM_001145278	NECAP2	+
chr1	16767166	16786584	NM_018090	NECAP2	+
chr1	16875408	16875482	NR_037446	MIR3675	+
chr1	16972068	16976915	NR_027504	MST1P2	+
chr1	17007749	17007823	NR_037446	MIR3675	+
chr1	17248444	17299474	NM_014675	CROCC	+
chr1	17531620	17572501	NM_013358	PADI1	+
chr1	17575592	17610727	NM_016233	PADI3	+
chr1	17634689	17690495	NM_012387	PADI4	+
chr1	17698740	17728195	NM_207421	PADI6	+
chr1	17866329	18024370	NM_018125	ARHGEF10L	+
chr1	17907047	18024370	NM_001011722	ARHGEF10L	+
chr1	18081807	18153558	NM_030812	ACTL8	+
chr1	18434239	18704977	NM_032880	IGSF21	+
chr1	18807423	18812480	NM_152375	KLHDC7A	+
chr1	18957499	19062632	NM_002584	PAX7	+
chr1	18957499	19062632	NM_013945	PAX7	+
chr1	18957499	19075360	NM_001135254	PAX7	+
chr1	19578074	19586622	NM_016183	MRTO4	+
chr1	19638739	19655794	NM_001040125	PQLC2	+
chr1	19638739	19655794	NM_001040126	PQLC2	+
chr1	19638739	19655794	NM_017765	PQLC2	+
chr1	19923470	19956315	NM_001032363	MINOS1	+
chr1	19923470	19956315	NM_001204082	MINOS1	+
chr1	19923470	19956315	NM_001204083	MINOS1	+
chr1	19923470	19956315	NR_033757	MINOS1	+
chr1	19923470	19956315	NR_033758	MINOS1	+
chr1	19923470	19984949	NM_001204088	MINOS1-NBL1	+
chr1	19923470	19984949	NM_001204089	MINOS1-NBL1	+
chr1	19969722	19984949	NM_182744	NBL1	+
chr1	19970207	19984949	NM_001204084	NBL1	+
chr1	19970806	19984949	NM_005380	NBL1	+
chr1	19971865	19984949	NM_001204085	NBL1	+
chr1	19972259	19984949	NM_001204086	NBL1	+
chr1	19991779	20006055	NM_000871	HTR6	+
chr1	20208887	20239437	NM_015207	OTUD3	+
chr1	20396700	20418394	NM_000929	PLA2G5	+
chr1	20465822	20476879	NM_022819	PLA2G2F	+
chr1	20512577	20519942	NM_152376	UBXN10	+
chr1	20617411	20681387	NM_001039500	VWA5B1	+
chr1	20878931	20881513	NM_207334	FAM43B	+
chr1	20915443	20945400	NM_001785	CDA	+
chr1	20959947	20978004	NM_032409	PINK1	+
chr1	21619782	21626362	NR_038404	LOC100506801	+
chr1	21766620	21811393	NM_001256416	NBPF3	+
chr1	21766620	21811393	NM_001256417	NBPF3	+
chr1	21766620	21811393	NM_032264	NBPF3	+
chr1	21766620	21811393	NR_046176	NBPF3	+
chr1	21835857	21904905	NM_000478	ALPL	+
chr1	21835857	21904905	NM_001127501	ALPL	+
chr1	21835857	21904905	NM_001177520	ALPL	+
chr1	22138757	22151714	NM_001013693	LDLRAD2	+
chr1	22303417	22315847	NM_007352	CELA3B	+
chr1	22328148	22339035	NM_005747	CELA3A	+
chr1	22351706	22357715	NR_023918	LINC00339	+
chr1	22352041	22357715	NR_023919	LINC00339	+
chr1	22379119	22417296	NM_044472	CDC42	+
chr1	22379119	22419436	NM_001039802	CDC42	+
chr1	22379119	22419436	NM_001791	CDC42	+
chr1	22778343	22857650	NM_001083621	ZBTB40	+
chr1	22778343	22857650	NM_014870	ZBTB40	+
chr1	22890003	22916112	NM_001006943	EPHA8	+
chr1	22890003	22930087	NM_020526	EPHA8	+
chr1	22963117	22966175	NM_015991	C1QA	+
chr1	22970117	22974603	NM_001114101	C1QC	+
chr1	22970117	22974603	NM_172369	C1QC	+
chr1	22979681	22988029	NM_000491	C1QB	+
chr1	23037330	23241823	NM_004442	EPHB2	+
chr1	23037330	23241823	NM_017449	EPHB2	+
chr1	23046009	23046091	NR_039832	MIR4684	+
chr1	23345940	23410184	NM_001009999	KDM1A	+
chr1	23345940	23410184	NM_015013	KDM1A	+
chr1	23370797	23370865	NR_036057	MIR3115	+
chr1	23695463	23698330	NR_033690	C1orf213	+
chr1	23695710	23698330	NR_033691	C1orf213	+
chr1	23953823	23967056	NR_027042	MDS2	+
chr1	24018268	24022915	NM_000975	RPL11	+
chr1	24018268	24022915	NM_001199802	RPL11	+
chr1	24069855	24088549	NM_003198	TCEB3	+
chr1	24104875	24114722	NM_020362	PITHD1	+
chr1	24117645	24122029	NM_007260	LYPLA2	+
chr1	24255559	24255637	NR_039615	MIR378F	+
chr1	24286300	24289949	NM_017761	PNRC2	+
chr1	24526729	24538180	NR_027087	LOC284632	+
chr1	24645811	24681808	NM_198173	GRHL3	+
chr1	24645811	24690970	NM_198174	GRHL3	+
chr1	24646055	24681808	NM_001195010	GRHL3	+
chr1	24649529	24681808	NM_021180	GRHL3	+
chr1	24742244	24799473	NM_020448	NIPAL3	+
chr1	24828840	24863510	NM_001251979	RCAN3	+
chr1	24828840	24863510	NM_001251984	RCAN3	+
chr1	24829386	24863510	NM_001251977	RCAN3	+
chr1	24829386	24863510	NM_001251981	RCAN3	+
chr1	24829386	24863510	NM_001251983	RCAN3	+
chr1	24829386	24863510	NM_013441	RCAN3	+
chr1	24834083	24863510	NM_001251978	RCAN3	+
chr1	24840803	24863510	NM_001251980	RCAN3	+
chr1	24840803	24863510	NM_001251982	RCAN3	+
chr1	24840803	24863510	NM_001251985	RCAN3	+
chr1	24882566	24935818	NM_001010980	NCMAP	+
chr1	24969593	24999772	NM_005839	SRRM1	+
chr1	25071759	25170815	NM_013943	CLIC4	+
chr1	25598980	25656936	NM_001127691	RHD	+
chr1	25598980	25656936	NM_016124	RHD	+
chr1	25664788	25688852	NM_014313	TMEM50A	+
chr1	25757387	25826698	NM_018202	TMEM57	+
chr1	25870075	25895377	NM_015627	LDLRAP1	+
chr1	25943958	26111258	NM_020379	MAN1C1	+
chr1	26126666	26144713	NM_020451	SEPN1	+
chr1	26126666	26144713	NM_206926	SEPN1	+
chr1	26146396	26159433	NM_001099625	MTFR1L	+
chr1	26146396	26159433	NM_001099627	MTFR1L	+
chr1	26146683	26159433	NM_019557	MTFR1L	+
chr1	26147318	26159433	NM_001099626	MTFR1L	+
chr1	26348270	26362954	NM_004455	EXTL1	+
chr1	26437655	26452039	NM_001243532	PDIK1L	+
chr1	26438267	26452039	NM_001243533	PDIK1L	+
chr1	26438267	26452039	NM_152835	PDIK1L	+
chr1	26485510	26489119	NM_024869	FAM110D	+
chr1	26496387	26497364	NM_015871	ZNF593	+
chr1	26503980	26516375	NM_006314	CNKSR1	+
chr1	26503981	26516375	NR_023345	CNKSR1	+
chr1	26517118	26529033	NM_198137	CATSPER4	+
chr1	26560692	26605299	NM_022778	CEP85	+
chr1	26606212	26608013	NM_031286	SH3BGRL3	+
chr1	26644410	26647014	NM_001803	CD52	+
chr1	26737268	26756219	NM_024674	LIN28A	+
chr1	26758772	26797795	NM_001243564	DHDDS	+
chr1	26758772	26797795	NM_001243565	DHDDS	+
chr1	26758772	26797795	NM_024887	DHDDS	+
chr1	26758772	26797795	NM_205861	DHDDS	+
chr1	26798901	26803133	NM_005517	HMGN2	+
chr1	26856248	26901520	NM_002953	RPS6KA1	+
chr1	26872342	26901520	NM_001006665	RPS6KA1	+
chr1	26881032	26881084	NR_031740	MIR1976	+
chr1	27022521	27108601	NM_006015	ARID1A	+
chr1	27022521	27108601	NM_139135	ARID1A	+
chr1	27114453	27124894	NM_017837	PIGV	+
chr1	27114678	27124894	NM_001202554	PIGV	+
chr1	27153200	27182211	NM_032283	ZDHHC18	+
chr1	27189632	27190947	NM_006142	SFN	+
chr1	27248212	27273362	NM_006600	NUDC	+
chr1	27320194	27327377	NM_001013642	TRNP1	+
chr1	27561006	27635110	NM_015023	WDTC1	+
chr1	27648635	27662891	NM_032125	TMEM222	+
chr1	27648635	27662891	NR_037576	TMEM222	+
chr1	27648635	27662891	NR_037577	TMEM222	+
chr1	27648635	27662891	NR_037580	TMEM222	+
chr1	27650364	27653016	NR_033926	LOC644961	+
chr1	27668482	27680423	NM_001193308	SYTL1	+
chr1	27668482	27680423	NM_032872	SYTL1	+
chr1	27719151	27722317	NM_005281	GPR3	+
chr1	28052489	28089423	NM_001143912	FAM76A	+
chr1	28052489	28089423	NM_001143913	FAM76A	+
chr1	28052489	28089423	NM_001143914	FAM76A	+
chr1	28052489	28089423	NM_001143915	FAM76A	+
chr1	28052489	28089423	NM_152660	FAM76A	+
chr1	28099693	28150963	NM_177424	STX12	+
chr1	28157251	28178183	NM_014110	PPP1R8	+
chr1	28157324	28178183	NM_002713	PPP1R8	+
chr1	28157324	28178183	NM_138558	PPP1R8	+
chr1	28160911	28161077	NR_002997	SCARNA1	+
chr1	28199054	28213193	NM_001039477	THEMIS2	+
chr1	28199054	28213193	NM_001105556	THEMIS2	+
chr1	28199054	28213193	NM_004848	THEMIS2	+
chr1	28261503	28282991	NM_001009568	SMPDL3B	+
chr1	28261503	28285663	NM_014474	SMPDL3B	+
chr1	28286503	28294604	NM_018053	XKR8	+
chr1	28562601	28564616	NM_016311	ATPIF1	+
chr1	28562601	28564616	NM_178190	ATPIF1	+
chr1	28562601	28564616	NM_178191	ATPIF1	+
chr1	28585962	28609002	NM_031459	SESN2	+
chr1	28655512	28662478	NM_001127350	MED18	+
chr1	28655512	28662478	NM_017638	MED18	+
chr1	28696092	28826881	NM_001048183	PHACTR4	+
chr1	28764660	28826881	NM_023923	PHACTR4	+
chr1	28832454	28837404	NR_002909	SNHG3	+
chr1	28832454	28837404	NR_036473	SNHG3	+
chr1	28832454	28865708	NM_001048199	RCC1	+
chr1	28832454	28865708	NR_030725	RCC1	+
chr1	28832454	28865708	NR_030726	RCC1	+
chr1	28844744	28865708	NM_001048194	RCC1	+
chr1	28844744	28865708	NM_001048195	RCC1	+
chr1	28844744	28865708	NM_001269	RCC1	+
chr1	28879528	28905057	NM_017846	TRNAU1AP	+
chr1	28879528	28905057	NR_003109	TRNAU1AP	+
chr1	28918711	28921088	NM_152304	RAB42	+
chr1	28919006	28921088	NM_001193532	RAB42	+
chr1	28975111	28975246	NR_004407	RNU11	+
chr1	28995239	29042115	NM_006582	GMEB1	+
chr1	28995239	29042115	NM_024482	GMEB1	+
chr1	29063132	29096287	NM_001173128	YTHDF2	+
chr1	29063135	29096287	NM_016258	YTHDF2	+
chr1	29063451	29096287	NM_001172828	YTHDF2	+
chr1	29138653	29190208	NM_000911	OPRD1	+
chr1	29213602	29446558	NM_001166005	EPB41	+
chr1	29213602	29446558	NM_001166007	EPB41	+
chr1	29213602	29446558	NM_004437	EPB41	+
chr1	29213602	29446558	NM_203342	EPB41	+
chr1	29213602	29446558	NM_203343	EPB41	+
chr1	29241087	29391733	NM_001166006	EPB41	+
chr1	29563027	29653325	NM_001195001	PTPRU	+
chr1	29563027	29653325	NM_005704	PTPRU	+
chr1	29563027	29653325	NM_133177	PTPRU	+
chr1	29563027	29653325	NM_133178	PTPRU	+
chr1	31191618	31199593	NR_034182	MATN1-AS1	+
chr1	31769841	31837780	NM_016505	ZCCHC17	+
chr1	31882411	31907527	NM_001199038	SERINC2	+
chr1	31883020	31907527	NM_001199037	SERINC2	+
chr1	31885962	31907527	NM_178865	SERINC2	+
chr1	31886659	31907527	NM_001199039	SERINC2	+
chr1	31886659	31907527	NM_018565	SERINC2	+
chr1	31971838	31974167	NR_034112	LOC149086	+
chr1	31984035	31989846	NR_027085	LOC284551	+
chr1	32042085	32053287	NM_001204414	TINAGL1	+
chr1	32042085	32053287	NM_022164	TINAGL1	+
chr1	32043745	32053287	NM_001204415	TINAGL1	+
chr1	32083300	32092919	NM_001525	HCRTR1	+
chr1	32479490	32509472	NM_006559	KHDRBS1	+
chr1	32538502	32568467	NM_018056	TMEM39B	+
chr1	32573643	32642168	NM_012316	KPNA6	+
chr1	32645344	32663886	NM_175852	TXLNA	+
chr1	32666201	32670991	NM_024296	CCDC28B	+
chr1	32671235	32674288	NM_001160042	IQCC	+
chr1	32671235	32674288	NM_018134	IQCC	+
chr1	32674694	32681797	NM_001099434	DCDC2B	+
chr1	32687970	32697205	NM_003757	EIF3I	+
chr1	32712817	32714461	NM_032648	FAM167B	+
chr1	32716839	32751766	NM_005356	LCK	+
chr1	32739711	32751766	NM_001042771	LCK	+
chr1	32757707	32799224	NM_004964	HDAC1	+
chr1	32827861	32829924	NM_052841	TSSK3	+
chr1	32930657	32953459	NM_001145720	ZBTB8B	+
chr1	33004771	33071542	NM_001040441	ZBTB8A	+
chr1	33116748	33151812	NM_001135255	RBBP4	+
chr1	33116748	33151812	NM_005610	RBBP4	+
chr1	33116958	33151812	NM_001135256	RBBP4	+
chr1	33207511	33240571	NM_020888	KIAA1522	+
chr1	33231234	33240571	NM_001198972	KIAA1522	+
chr1	33231234	33240571	NM_001198973	KIAA1522	+
chr1	33283042	33324480	NM_001256121	S100PBP	+
chr1	33283118	33324480	NM_022753	S100PBP	+
chr1	33352097	33360247	NM_002143	HPCA	+
chr1	33546713	33585995	NM_052998	ADC	+
chr1	33722173	33766320	NM_152493	ZNF362	+
chr1	33938231	33961995	NM_145238	ZSCAN20	+
chr1	34326075	34330392	NM_145205	HMGB4	+
chr1	34329679	34330392	NR_033264	HMGB4	+
chr1	34334556	34351059	NR_038372	LOC402779	+
chr1	34632623	34684731	NM_032884	C1orf94	+
chr1	34642552	34684731	NM_001134734	C1orf94	+
chr1	35220720	35224112	NM_005268	GJB5	+
chr1	35225341	35229325	NM_153212	GJB4	+
chr1	35246789	35251965	NM_024009	GJB3	+
chr1	35247910	35251967	NM_001005752	GJB3	+
chr1	35258598	35261348	NM_002060	GJA4	+
chr1	35544971	35581455	NM_024772	ZMYM1	+
chr1	35734567	35887545	NM_005095	ZMYM4	+
chr1	36023392	36032380	NM_001014839	NCDN	+
chr1	36023392	36032380	NM_001014841	NCDN	+
chr1	36023392	36032380	NM_014284	NCDN	+
chr1	36038970	36060927	NM_178548	TFAP2E	+
chr1	36273827	36323490	NM_017629	AGO4	+
chr1	36348809	36389899	NM_012199	AGO1	+
chr1	36396682	36522063	NM_024852	AGO3	+
chr1	36396682	36522063	NM_177422	AGO3	+
chr1	36549675	36553876	NM_014466	TEKT2	+
chr1	36554452	36559533	NM_017825	ADPRHL2	+
chr1	36621802	36646441	NM_018067	MAP7D1	+
chr1	36690016	36770957	NM_005119	THRAP3	+
chr1	36771993	36786948	NM_001162530	SH3D21	+
chr1	36772707	36786948	NM_024676	SH3D21	+
chr1	37627163	37627235	NR_036217	MIR4255	+
chr1	37940118	37949978	NM_025079	ZC3H12A	+
chr1	38022519	38032458	NM_003462	DNALI1	+
chr1	38158072	38175391	NM_001256875	CDCA8	+
chr1	38158072	38175391	NM_018101	CDCA8	+
chr1	38259773	38267278	NM_001031740	MANEAL	+
chr1	38259773	38267278	NM_001113482	MANEAL	+
chr1	38261159	38267278	NM_152496	MANEAL	+
chr1	38273472	38275126	NM_001142726	C1orf122	+
chr1	38273472	38275126	NM_198446	C1orf122	+
chr1	38478383	38490497	NM_016037	UTP11L	+
chr1	38554902	38555001	NR_037432	MIR3659	+
chr1	39456915	39471737	NM_001136275	AKIRIN1	+
chr1	39456915	39471737	NM_024595	AKIRIN1	+
chr1	39491966	39500308	NM_001184979	NDUFS5	+
chr1	39491966	39500308	NM_004552	NDUFS5	+
chr1	39547088	39952810	NM_012090	MACF1	+
chr1	39875175	39882154	NM_015038	KIAA0754	+
chr1	39957317	39995541	NM_181809	BMP8A	+
chr1	40204516	40222441	NM_006112	PPIE	+
chr1	40204516	40222441	NR_036543	PPIE	+
chr1	40204516	40222441	NR_036544	PPIE	+
chr1	40204516	40229586	NM_001195007	PPIE	+
chr1	40204516	40229586	NM_203456	PPIE	+
chr1	40420783	40435628	NM_001136493	MFSD2A	+
chr1	40420783	40435628	NM_032793	MFSD2A	+
chr1	40506254	40538321	NM_001105530	CAP1	+
